Comment,Aspect,Date,brand,trigger_keywords
Thank you..,,2022-09-19T21:01:42Z,Hatton National Bank,"['hnb', 'mohoththuwarama primary school', 'HNB finance plc', 'swashakthi savings', 'HNB']"
It's not boring. Watched all. Thank you.,,2020-08-05T19:07:25Z,Hatton National Bank,"['hnb', 'mohoththuwarama primary school', 'HNB finance plc', 'swashakthi savings', 'HNB']"
Like it.,,2020-08-04T11:04:12Z,Hatton National Bank,"['hnb', 'mohoththuwarama primary school', 'HNB finance plc', 'swashakthi savings', 'HNB']"
Watching,,2020-08-01T21:41:32Z,Hatton National Bank,"['hnb', 'mohoththuwarama primary school', 'HNB finance plc', 'swashakthi savings', 'HNB']"
Nic bro. Want next video soon,,2020-08-01T15:11:57Z,Hatton National Bank,"['hnb', 'mohoththuwarama primary school', 'HNB finance plc', 'swashakthi savings', 'HNB']"
"What do you think abt HASU?, 120 good for enter?",,2020-08-01T14:04:33Z,Hatton National Bank,"['hnb', 'mohoththuwarama primary school', 'HNB finance plc', 'swashakthi savings', 'HNB']"
Aiye kantha police gast awoth dann .2023,,2023-07-18T14:38:30Z,Hatton National Bank,"['hnb', 'mohoththuwarama primary school', 'HNB finance plc', 'swashakthi savings', 'HNB']"
Me link open wenne nane,,2023-07-17T12:06:45Z,Hatton National Bank,"['hnb', 'mohoththuwarama primary school', 'HNB finance plc', 'swashakthi savings', 'HNB']"
Really nice explanation,,2022-04-19T01:57:03Z,Hatton National Bank,"['hnb', 'mohoththuwarama primary school', 'HNB finance plc', 'swashakthi savings', 'HNB']"
Don't  select HNB .I have very bad personal  experience. Lot of hidden charges,,2022-01-14T04:19:21Z,Hatton National Bank,"['hnb', 'mohoththuwarama primary school', 'HNB finance plc', 'swashakthi savings', 'HNB']"
thanks.,,2021-09-08T16:42:23Z,Hatton National Bank,"['hnb', 'mohoththuwarama primary school', 'HNB finance plc', 'swashakthi savings', 'HNB']"
‌what about the hsbc,,2021-09-06T08:21:37Z,Hatton National Bank,"['hnb', 'mohoththuwarama primary school', 'HNB finance plc', 'swashakthi savings', 'HNB']"
Thank you very much.. Wish you all the best..,,2021-09-05T15:24:27Z,Hatton National Bank,"['hnb', 'mohoththuwarama primary school', 'HNB finance plc', 'swashakthi savings', 'HNB']"
Good one,,2021-09-05T03:16:44Z,Hatton National Bank,"['hnb', 'mohoththuwarama primary school', 'HNB finance plc', 'swashakthi savings', 'HNB']"
useful thank u,,2021-09-05T02:07:31Z,Hatton National Bank,"['hnb', 'mohoththuwarama primary school', 'HNB finance plc', 'swashakthi savings', 'HNB']"
Thank you for the information,,2021-09-05T01:21:31Z,Hatton National Bank,"['hnb', 'mohoththuwarama primary school', 'HNB finance plc', 'swashakthi savings', 'HNB']"
Very important informaion. Thank you very much.,,2021-09-05T00:50:11Z,Hatton National Bank,"['hnb', 'mohoththuwarama primary school', 'HNB finance plc', 'swashakthi savings', 'HNB']"
