Comment,Aspect,Date,brand,trigger_keywords
Thanks ,,2025-05-01T16:17:50Z,Hatton National Bank,['HNB']
Therenne na,,2024-10-31T01:59:57Z,Hatton National Bank,['HNB']
Good job,,2024-07-26T12:05:02Z,Hatton National Bank,['HNB']
First  ,,2025-05-18T15:42:40Z,Hatton National Bank,['HNB']
It's excellent,,2021-11-05T08:14:30Z,Hatton National Bank,['HNB']
5.35 Mona pin tha add karanda one,,2021-09-07T09:03:03Z,Hatton National Bank,['HNB']
This will lead us to a new era...,,2021-02-20T14:24:13Z,Hatton National Bank,['HNB']
Can you tell me how to find out if our phone is infected?,,2021-02-20T12:34:25Z,Hatton National Bank,['HNB']
super ,,2021-02-20T09:08:57Z,Hatton National Bank,['HNB']
You tube free Nam upload freeda bro,,2021-02-20T05:47:49Z,Hatton National Bank,['HNB']
good everyone need this in these days,,2021-02-20T01:40:43Z,Hatton National Bank,['HNB']
Wow,,2021-02-20T01:37:28Z,Hatton National Bank,['HNB']
".has anybody here watched ""Nervous so much"" on youtube ??? 🤣🤣🤣",,2021-02-19T21:45:45Z,Hatton National Bank,['HNB']
Good,,2021-02-19T19:17:27Z,Hatton National Bank,['HNB']
"I don't like to know about mobile phones & technology .
Btw I love to listen  Chanux ayya's speaking way and love to watch his all videos ",,2021-02-19T19:02:12Z,Hatton National Bank,['HNB']
Chargers?,,2021-02-19T18:36:24Z,Hatton National Bank,['HNB']
236 Comment 718 Like.,,2021-02-19T18:29:27Z,Hatton National Bank,['HNB']
Super video.,,2021-02-19T17:16:06Z,Hatton National Bank,['HNB']
patta,,2021-02-19T17:09:33Z,Hatton National Bank,['HNB']
I trust u,,2021-02-19T17:05:27Z,Hatton National Bank,['HNB']
Super,,2021-02-19T17:00:51Z,Hatton National Bank,['HNB']
Superb ,,2021-02-19T16:58:53Z,Hatton National Bank,['HNB']
Nice content ,,2024-11-26T04:08:12Z,Hatton National Bank,['HNB']
Perez Kenneth Miller Scott Thompson Sharon,,2024-09-24T07:01:43Z,Hatton National Bank,['HNB']
Without card? How,,2024-12-26T21:05:05Z,Hatton National Bank,['HNB']
"Video Pudichi Irrutha Like Share Pannuga 
Travel Tech Family..",,2021-05-22T15:00:02Z,Hatton National Bank,['HNB']
Thanks,,2024-11-16T12:43:57Z,Hatton National Bank,['HNB']
Alert number change please tell me bro,,2024-02-24T10:22:51Z,Hatton National Bank,['HNB']
Thanks bro,,2023-01-02T14:21:28Z,Hatton National Bank,['HNB']
Super sharing,,2022-05-25T06:50:41Z,Hatton National Bank,['HNB']
Super definition thanks,,2021-12-04T14:23:23Z,Hatton National Bank,['HNB']
"thanks  bro , how to delete transactions  histroy?",,2021-11-11T14:49:01Z,Hatton National Bank,['HNB']
