Comment,Aspect,Date,brand,trigger_keywords
Clear & Detail information.,,2021-10-25T12:11:04Z,Hatton National Bank,['HNB']
Useful video,,2021-10-13T04:35:25Z,Hatton National Bank,['HNB']
Card illena active panne mudiyatha bro,,2021-09-01T01:14:45Z,Hatton National Bank,['HNB']
Super ,,2021-08-14T17:55:10Z,Hatton National Bank,['HNB']
How to change my phone number,,2021-07-09T14:44:20Z,Hatton National Bank,['HNB']
"Good app
Very clear explanation 
Why don't you try @solo by hnb app",,2021-06-06T06:40:18Z,Hatton National Bank,['HNB']
"Very useful, and a well narrated update",,2021-05-26T05:18:33Z,Hatton National Bank,['HNB']
Bro how to send mony india ku pls sollunga epdi send panrathu indiavuku,,2021-05-23T04:53:09Z,Hatton National Bank,['HNB']
"Super Bro 
Thank you ",,2021-05-22T20:22:39Z,Hatton National Bank,['HNB']
Bro Iq opinion support ahutha,,2021-05-22T18:11:08Z,Hatton National Bank,['HNB']
super,,2021-05-22T17:13:18Z,Hatton National Bank,['HNB']
"I don't miss your videos 🤗
I like your videos
Good information for us",,2021-05-22T17:11:08Z,Hatton National Bank,['HNB']
Hi,,2021-05-22T16:41:13Z,Hatton National Bank,['HNB']
New Background with pc & Video resolution also good.,,2021-05-22T15:54:05Z,Hatton National Bank,['HNB']
"Video Pudichi Irrutha Like Share Pannuga 
Travel Tech Family..",,2021-05-22T15:00:02Z,Hatton National Bank,['HNB']
Thankd,,2025-04-05T07:27:01Z,Hatton National Bank,['HNB']
Thanks,,2025-04-04T06:42:34Z,Hatton National Bank,['HNB']
Thanks  good ,,2025-01-03T08:05:49Z,Hatton National Bank,['HNB']
how to get e statement,,2024-06-14T23:11:02Z,Hatton National Bank,['HNB']
Best work brother,,2024-03-24T02:56:08Z,Hatton National Bank,['HNB']
Thank you ,,2024-02-03T08:45:18Z,Hatton National Bank,['HNB']
Good,,2024-02-02T03:22:04Z,Hatton National Bank,['HNB']
Thankyou  i do it,,2023-11-21T19:35:20Z,Hatton National Bank,['HNB']
Very good ...,,2023-11-20T22:35:27Z,Hatton National Bank,['HNB']
thank you brother ,,2024-10-27T04:00:18Z,Hatton National Bank,['HNB']
thank you,,2024-07-07T22:28:52Z,Hatton National Bank,['HNB']
 thanks ,,2023-11-06T05:57:14Z,Hatton National Bank,['HNB']
Thank you so much brother ,,2023-11-05T19:21:04Z,Hatton National Bank,['HNB']
Please make one of Birla campus also. Har jgh bs Chauras hi dikh rha birla ka kuch idea nai mil rha,,2024-08-28T16:16:02Z,Hatton National Bank,['HNB']
What is the eligibility criteria for bsc ag mainrae 324/600 aa rahe h pcb group obc kya ho jayega ???,,2024-08-05T05:10:57Z,Hatton National Bank,['HNB']
Yaha pe direct addmission mil jayega 12th ki percentage main ba political science hons ke kiye? And meri 96% aayi ha to kya mujhe addmission mil jayega,,2024-07-22T13:45:09Z,Hatton National Bank,['HNB']
"Cuet ka exam dia hai 
Hnbgu dream University hai 
Kash ho jaye 🥺
Itep course ke liye",,2024-07-21T06:49:42Z,Hatton National Bank,['HNB']
मेरा marks GT me 108 or language hindi me 146 hai मुझे यहाँ एडमिशन मिलेगा क्या catehory obc hai,,2024-07-09T06:50:27Z,Hatton National Bank,['HNB']
"If you want hnbgu pyq check it out my uploaded shorts 
Thank you",,2024-05-06T07:57:34Z,Hatton National Bank,['HNB']
Sir 2024 BPED Exam ki written or physical exam Kaisa hota h I mean Bht jada tough?,,2024-05-02T08:10:04Z,Hatton National Bank,['HNB']
sirf reservation ke chode bhare pade h yaha,,2023-11-27T02:25:02Z,Hatton National Bank,['HNB']
Does this university give their explanation and teaching process in English or is it only Hindi?,,2023-08-11T05:44:41Z,Hatton National Bank,['HNB']
For more information you can watch this video. https://youtube.com/watch?v=gjPCzQaZOAQ&feature=sharea,,2023-08-10T08:24:22Z,Hatton National Bank,['HNB']
For more information you can watch this video. https://youtube.com/watch?v=gjPCzQaZOAQ&feature=sharea,,2023-08-10T08:24:19Z,Hatton National Bank,['HNB']
And bhai ab sare jgh ka date chla gya kya ??ab kahi cuet me central university me btech m addmission ni ho payega ??plzz help,,2023-08-10T07:47:25Z,Hatton National Bank,['HNB']
"Hii..plzz reply
Bhai is university ki placements kyesi hai???btech cse course k liye kyesa hai ye university ???
And bhai kya ab bhi is university k liye apply kr skte h???",,2023-08-10T07:42:24Z,Hatton National Bank,['HNB']
"Chemistry department of Srinagar is good????
I got selected in this university Srinagar campus",,2023-08-09T19:19:05Z,Hatton National Bank,['HNB']
280 ewa can get admission in btech,,2023-08-01T10:26:56Z,Hatton National Bank,['HNB']
Btech cse ka cutoff kitna hai college me,,2023-07-28T08:29:33Z,Hatton National Bank,['HNB']
"OBC 
FEMALE CANDIDATE 
CUET SCORE IN GENERAL TEST:- 138/250
COURSE:-BA(Social science & humanities) 
Can i get admission?",,2023-07-17T02:52:31Z,Hatton National Bank,['HNB']
"How is the placement h
There rn?
Any chances it'll be improved in next 3-4 years?",,2023-07-15T10:51:33Z,Hatton National Bank,['HNB']
Mera exam lga ha 2 july ko please ise college me me Lucknow se hu please koi yeh bta me yaha kaise pahuchu,,2023-06-27T12:54:43Z,Hatton National Bank,['HNB']
ismy bsc nursing hai??,,2023-06-24T11:47:27Z,Hatton National Bank,['HNB']
"Sir , b pharmacy me kitne score chahiye slection ke liye",,2023-06-24T02:53:08Z,Hatton National Bank,['HNB']
Hi  suno cuet ka cut off kitna hai for this collage please reply,,2023-06-18T06:22:02Z,Hatton National Bank,['HNB']
"B,tech cse ke liye kitna score chahiye cuet me please reply",,2023-06-09T11:47:46Z,Hatton National Bank,['HNB']
Thankyou Universe I got selected for this college.........,,2023-05-27T05:53:06Z,Hatton National Bank,['HNB']
Ye to Swarag hai CUET Aspirants ke liye ,,2023-03-28T11:25:56Z,Hatton National Bank,['HNB']
Bhai btech cs ke liye shrinagar campus hai kya aur kitne percentile chahiye cuet me admission ke liye,,2023-03-23T15:51:10Z,Hatton National Bank,['HNB']
Ma journalism mass communication is good or bad,,2022-11-14T10:11:56Z,Hatton National Bank,['HNB']
"Hello
Mera selection hua h bsc core microbiology zoology and additional biochemistry me main campus Srinagar
 me 
Aap ye bta skte scope kya hai life sciences group ka
Yha oth",,2022-10-14T05:57:48Z,Hatton National Bank,['HNB']
Bro mera selection hua h BTech lateral entry in cse to yhan se btech Krna sahi rhega ya nhi..?? Please suggest me honestly.,,2022-10-09T11:40:36Z,Hatton National Bank,['HNB']
Bro 130/600 any chance in btech cuet diya h,,2022-10-01T03:16:00Z,Hatton National Bank,['HNB']
"Bhai cuet me acche marks hai kya 
Btech CSE me admission Karna worth rahega  or graphic era me le Lu .
Kyuki mujhe baad me mtech Karna
Hai",,2022-09-19T10:00:31Z,Hatton National Bank,['HNB']
Thank you so much bro  useful video ,,2023-07-10T19:36:02Z,Hatton National Bank,['HNB']
Super broo,,2023-07-10T05:04:26Z,Hatton National Bank,['HNB']
Thank u.....,,2025-04-26T07:40:42Z,Hatton National Bank,['HNB']
Thank you for the your video,,2023-12-13T10:34:09Z,Hatton National Bank,['HNB']
THANX sudu,,2024-11-27T13:51:13Z,Hatton National Bank,['HNB']
7564 Cole Inlet,,2024-09-09T16:51:19Z,Hatton National Bank,['HNB']
Thank q ,,2024-04-25T05:37:49Z,Hatton National Bank,['HNB']
very helpful,,2024-02-26T05:32:29Z,Hatton National Bank,['HNB']
Thanks ,,2022-07-15T18:59:35Z,Hatton National Bank,['HNB']
Thank you ,,2022-07-08T12:49:34Z,Hatton National Bank,['HNB']
Good Job,,2021-12-17T03:40:05Z,Hatton National Bank,['HNB']
Super,,2021-12-16T19:18:25Z,Hatton National Bank,['HNB']
Excellent,,2021-12-16T18:02:48Z,Hatton National Bank,['HNB']
Nice sharing,,2021-10-23T09:52:00Z,Hatton National Bank,['HNB']
Reply soon,,2022-12-02T07:56:50Z,Hatton National Bank,['HNB']
Thank you so mush...,,2022-07-08T18:47:38Z,Hatton National Bank,['HNB']
View and transaction   the choice not coming what problem,,2022-07-05T15:36:36Z,Hatton National Bank,['HNB']
"thanks bro  ,how to delete transaction history ??",,2021-11-11T14:46:16Z,Hatton National Bank,['HNB']
Thank you so much bro...,,2021-10-12T07:44:07Z,Hatton National Bank,['HNB']
Super. Thanks please SOLO,,2021-10-03T15:47:48Z,Hatton National Bank,['HNB']
"It's great initiative.
It's necessary to our clients nowadays.
Keep doing more video.",,2021-06-27T13:12:49Z,Hatton National Bank,['HNB']
"Its been clearly explained..
Everyone could easily understand the usage of the app ",,2021-06-27T09:59:17Z,Hatton National Bank,['HNB']
