Paragraph,keybert_keyphrases,execution_time
Transaction Banking HNB TxB,"['transaction banking hnb', 'banking', 'transaction', 'hnb', 'txb']",0.05148029327392578
Personal Online Banking CashExpress Corporate Online Banking Payfast Transaction Banking HNB TxB Check List out if your PC ready E Banking Login Internet Banking Home Page Balance Inquiry Check List out if your PC ready E Banking Login Internet Banking Home Page Balance Inquiry Check List out if your PC ready E Banking Login Internet Banking Home Page Corporate Website All rights . Hatton National Bank PLC PQ .,"['online banking cashexpress', 'hnb txb check', 'home page balance', 'list pc ready', 'rights hatton national']",0.22041797637939453
List out if your PC ready E Banking,"['pc ready banking', 'list pc ready', 'pc', 'list', 'ready']",0.03824329376220703
Personal Online Banking CashExpress Corporate Online Banking Payfast Transaction Banking HNB TxB Check List out if your PC ready E Banking Login Internet Banking Home Page Balance Inquiry Check List out if your PC ready E Banking Login Internet Banking Home Page Balance Inquiry Check List out if your PC ready E Banking Login Internet Banking Home Page Corporate Website,"['online banking cashexpress', 'hnb txb check', 'list pc ready', 'page balance', 'home']",0.1830918788909912
All rights . Hatton National Bank PLC PQ,"['bank plc pq', 'hatton national bank', 'rights hatton national', 'plc', 'pq']",0.048073530197143555
Corporate Online Banking,"['corporate online banking', 'banking', 'corporate online', 'corporate', 'online']",0.038230180740356445
List out if your PC ready E Banking Login Internet Banking Home Page Balance Inquiry Check List out if your PC ready E Banking Login Internet Banking Home Page Balance Inquiry Check List out if your PC ready E Banking Login Internet Banking Home Page,"['pc ready banking', 'inquiry check list', 'login internet', 'home page', 'balance']",0.09263825416564941
Personal Online Banking,"['personal online banking', 'online banking', 'banking', 'online', 'personal']",0.03766226768493652
