Paragraph,yake_keywords,yake_execution_time,keybert_keyphrases,execution_time,embedrank_keywords,embedrank_time
Sri Lanka s financial service provider HNB Finance water purification system Mohoththuwarama,"['provider HNB Finance', 'HNB Finance water', 'purification system Mohoththuwarama', 'service provider HNB', 'Finance water purification', 'HNB Finance', 'Sri Lanka', 'system Mohoththuwarama', 'financial service provider', 'water purification system']",0.0805683135986328,"['hnb finance water', 'water purification mohoththuwarama', 'sri lanka', 'service provider', 'purification']",0.6884891986846924,"['HNB Finance water', 'hnb finance water', 'HNB Finance', 'provider HNB Finance', 'Finance water purification']",0.6219503879547119
HNB FINANCE International Women s Day,"['HNB FINANCE International', 'FINANCE International Women', 'HNB FINANCE', 'Women s Day', 'FINANCE International', 'International Women', 'HNB', 'Day', 'FINANCE', 'International']",0.031998872756958,"['international women day', 'finance international women', 'hnb finance', 'day', 'international']",0.2835936546325683,"['finance international women', 'FINANCE International Women', 'HNB FINANCE International', 'hnb finance', 'HNB FINANCE']",0.4333221912384033
HNB Finance young minds Yalu Daskam Art Workshop Wijeyawardana Vidyalaya February,"['Wijeyawardana Vidyalaya February', 'Yalu Daskam Art', 'Daskam Art Workshop', 'Art Workshop Wijeyawardana', 'Workshop Wijeyawardana Vidyalaya', 'HNB Finance young', 'minds Yalu Daskam', 'HNB Finance', 'Vidyalaya February', 'Finance young minds']",0.066563606262207,"['hnb finance young', 'art workshop wijeyawardana', 'minds yalu', 'wijeyawardana vidyalaya', 'february']",0.7176947593688965,"['Yalu Daskam Art', 'minds Yalu Daskam', 'Wijeyawardana Vidyalaya February', 'Workshop Wijeyawardana Vidyalaya', 'art workshop wijeyawardana']",0.6756885051727295
HNB Finance oasis Mohoththuwarama Primary School,"['Mohoththuwarama Primary School', 'HNB Finance oasis', 'Finance oasis Mohoththuwarama', 'oasis Mohoththuwarama Primary', 'HNB Finance', 'Primary School', 'Mohoththuwarama Primary', 'Finance oasis', 'oasis Mohoththuwarama', 'HNB']",0.0609984397888183,"['hnb finance', 'mohoththuwarama primary school', 'primary', 'mohoththuwarama', 'oasis']",0.4202103614807129,"['Finance oasis Mohoththuwarama', 'oasis Mohoththuwarama Primary', 'HNB Finance oasis', 'oasis Mohoththuwarama', 'mohoththuwarama primary school']",0.6037721633911133
our latest news updates .,"['latest news updates', 'updates', 'latest']",0.0040051937103271,"['latest news updates', 'latest news', 'news', 'latest', 'updates']",0.1721138954162597,"['latest news updates', 'latest news', 'updates', 'news', 'latest']",0.21206450462341309
Mehewara CSR Projects,"['Mehewara CSR Projects', 'CSR Projects', 'Mehewara CSR', 'Projects', 'CSR', 'Mehewara']",0.00799560546875,"['mehewara csr projects', 'csr projects', 'mehewara', 'projects', 'csr']",0.2041161060333252,"['Mehewara CSR Projects', 'mehewara csr projects', 'Mehewara CSR', 'Mehewara', 'mehewara']",0.3930027484893799
HNB Finance subsidiary Hatton National Bank PLC unblemished record almost two decades leader finance industry diverse portfolio financial products services .,"['Hatton National Bank', 'National Bank PLC', 'Bank PLC unblemished', 'subsidiary Hatton National', 'HNB Finance subsidiary', 'Finance subsidiary Hatton', 'PLC unblemished record', 'financial products services', 'decades leader finance', 'leader finance industry']",0.1095890998840332,"['hnb finance subsidiary', 'unblemished record decades', 'plc unblemished', 'industry diverse', 'hatton']",0.9920077323913574,"['HNB Finance subsidiary', 'hnb finance subsidiary', 'Finance subsidiary Hatton', 'Hatton National Bank', 'Bank PLC unblemished']",0.5835592746734619
HNB Finance PLC,"['HNB Finance PLC', 'HNB Finance', 'Finance PLC', 'HNB', 'PLC', 'Finance']",0.0069987773895263,"['hnb finance plc', 'hnb finance', 'hnb', 'finance', 'plc']",0.1846492290496826,"['hnb finance plc', 'HNB Finance PLC', 'hnb finance', 'HNB Finance', 'hnb']",0.33272576332092285
Mehewara CSR Projects Mehewara fund series ongoing CSR projects our customers need . fund financial contribution our dedicated employees organisation . HNB Finance oasis Mohoththuwarama Primary School Sri Lanka s financial service provider HNB Finance water purification system Mohoththuwarama,"['Primary School Sri', 'School Sri Lanka', 'Mohoththuwarama Primary School', 'HNB Finance oasis', 'provider HNB Finance', 'HNB Finance water', 'oasis Mohoththuwarama Primary', 'Mehewara CSR Projects', 'CSR Projects Mehewara', 'Finance oasis Mohoththuwarama']",0.0943303108215332,"['projects mehewara fund', 'employees organisation hnb', 'water purification', 'series ongoing csr', 'customers need']",1.6401479244232178,"['Mehewara CSR Projects', 'projects mehewara fund', 'CSR Projects Mehewara', 'Finance oasis Mohoththuwarama', 'Mohoththuwarama Primary School']",0.7746827602386475
Our keen focus entrepreneurs across country us SME SSE communities their full potential .,"['SME SSE communities', 'SME SSE', 'keen focus entrepreneurs', 'country us SME', 'SSE communities', 'full potential', 'keen focus', 'focus entrepreneurs', 'entrepreneurs across country', 'communities their full']",0.050208568572998,"['keen focus entrepreneurs', 'potential', 'communities', 'focus', 'country sme']",0.4745979309082031,"['entrepreneurs across country', 'keen focus entrepreneurs', 'SME SSE communities', 'focus entrepreneurs', 'country us SME']",0.45624661445617676
