Comment,Aspect,Date
තරග විභාගයට kedawana wada kiyala dena ganne kohomada,,2025-05-18T11:49:00Z
Mge birthday ek 2000.11.06 ethkot mt exam ekt apply krnn puluwnd me aurudde 2025.11.06t aurudu 25 k wenw thm 24 nisa pulwnd,,2025-05-18T06:53:14Z
Meka university yana gaman karanna berid aniwaren awurud 2k krnn onada magdi ain wenna berid,,2025-05-18T05:06:07Z
apply karann form eka pennanne nane,,2025-05-18T04:29:45Z
"Sir mn danata Kelaniya University eke bcom degree eka krna gmn inne (1 year)

Mn Trainee staff assistant vacancy ekata apply krla job eka confirm unoth ekata yna ekada hoda nattan degree eka complete krna ekada hoda? 

Job eke experience pennala MBA ekak krnnath puluwn nisa me question eka ahuwe sir

Pls reply sir ",,2025-05-17T16:15:56Z
Sir mn 2 nd shy exam karann inne me aurudde. Eka karana gaman meka dammata aulak wennedda sir. Pls reply sir,,2025-05-16T12:50:22Z
Treaning eka newasikada,,2025-05-16T11:44:02Z
Sir apply karana hemotm exam eka karann puluwnd,,2025-05-16T09:42:27Z
අපිට exam.ලියන්න.පුලුවන් වෙයිද කියල දැනගන්න කොහොමද,,2025-05-16T05:50:12Z
"Sir mt O/l frist shy english S 
second shy eke C thiyenne apply karanna puluwan da..",,2025-05-15T10:21:24Z
Undergraduate kenekta mekata apply karanna puluwanda sir,,2025-05-15T08:11:39Z
"Sir, bank traning gihillanm nh ... eka interview ekedi lakunu adu wenna balapaida",,2025-05-15T08:10:07Z
sir ENGLISH valata vithri S thiyenne eka gataluvak veida,,2025-05-14T14:04:21Z
"Sir mata O/l english s ,maths A A/l pass charated business level complete mata apply karata wadak nathi weida",,2025-05-13T17:46:42Z
Sir apita kalin shy eke result walin apply karanna baida,,2025-05-13T09:09:33Z
Sir mata o/l valata english S but a/l valata C thiyanava apply karanna puluwandha anith hemadheama thiyanawa,,2025-05-12T16:26:13Z
24 A/l campus ynn balaporoththuwen inne. Mekt apply krnn epd.okkom sudusukm thiyenw,,2025-05-11T06:54:20Z
Activation link eka thawamath awe nh.dn winadi 20k withara,,2025-05-11T05:19:00Z
Mt me june wlt age 25i mt mekt apply krnn barid,,2025-05-11T05:17:41Z
Sir Apply karanna video ekak dhanna ko  sir pls,,2025-05-11T04:17:42Z
Apply karana video ekk danna puluwanda ikamamata,,2025-05-11T04:13:29Z
"Iyaaaa
Mata Maths C English S  thiyanawa",,2025-05-11T04:12:39Z
Application eka penn nhne site eke,,2025-05-11T02:55:03Z
Elaga awurudde mama campus yddi meken ain wenna plwan neda sir,,2025-05-11T01:48:32Z
Elaga awurudde mama campus yddi meken ain wenna plwan neda sir,,2025-05-11T01:40:11Z
Thaama apply krnn bh ned,,2025-05-11T01:03:45Z
Sir meke application eka kawada wage daid thwm dala nane.... eka demmahama denuwath kirrimak krrn ok da obathumata ... video ekak harahama,,2025-05-10T20:29:53Z
"මට ඔක්කොම කොලිෆිකෙශන් ටික තිනවා..දැන් english බාවිතයක් නැති නිසා මට බයයි..අනික මෙකෙ english pepper එකකුත් තිනවා නෙ.මට o/l english C
Mths B
Sinhala B
A/l වලටත් ABC thinne commerce walin",,2025-05-10T19:46:48Z
"සර්,

O/l ගනිතය , ඉංග්‍රීසි  පලවෙනිපාර s . දෙවනි පාර කරල B. ඒත් සර් මේ නෝට් එකේ මොකක්ද මේ එක් වරකදී කියල , කියල තියෙන්නෙ. Fb එකේ පෝස්ට් එකක් දාලා ඇහුවම ඒකෙ කියන්නෙ o/l පලවෙනි පාරින්ම ගනන් ඉංග්‍රීසි සිංහල ඇතුලුව අඩුම c6 ක් ඕන කියලනෙ.  කාන්ඩවිශයන් හැර පලවෙනි පාරෙන්ම විශයන් හයකට අඩුම C ඕන කියලනෙ මේ කියන්නෙ. අනේ තේරෙන්නෑ.  ඒ කොටස පැහැදිලි ණෑ",,2025-05-10T19:34:59Z
Sir o/l english B thiyenne 2nd shy .1 shy english s thiyenne ethkota apply karanna puluwan da,,2025-05-10T19:23:38Z
Ane mn issra idanm asai bank ekak weda karanna.. eth kochhra apply karth kawdawth chance ekak hambela nehe.  Puluwannm apita apply karana heti video ekak denwada.. ethakota me exam walat face karanna cls tiyenwda. Ane rply ekak dennko,,2025-05-10T18:37:41Z
"Sir 4th year undergraduate puluwanda? English c, maths s nam chance ekak thiyenawada sir? 2000.05.24n passe ayata puluwanda",,2025-05-10T17:38:51Z
Sir me job ekt ghn CA articles cover krnn berida,,2025-05-10T17:28:58Z
"Sir o/l  english s thiyenne 
Me para aphu liwa . Eth apply krnn results awith nahne. S eka thiyagen apply kroth exam eka lynn wth enne nadd",,2025-05-10T17:07:18Z
Al walata english f thibboth apply karanna baida,,2025-05-10T16:26:25Z
"Mata 1st shy
Maths kale CSS thiynwa

Eth komd apply krnne",,2025-05-10T15:37:41Z
Sir mata 2025/02/03 wenakota aurudu 24 labanawa..mata apply karanna barida,,2025-05-10T15:28:21Z
Sir eka district ekakin keedenek withara gannawada,,2025-05-10T15:09:29Z
Sir scond shy english c tiynne eka awlk nadda .mt first shy eke english s tiyenne. Meke ek wrkadi kiyla dala tiyn nisa awlk weida .,,2025-05-10T15:07:09Z
Sir O/l english S anith subject hodayi nm puluwn weida,,2025-05-10T14:49:42Z
