Comment,Aspect,Date
Too looooooong,,2022-09-02T21:47:26Z
Useful video,,2021-10-13T04:35:25Z
Sinhala,,2021-09-30T16:31:36Z
Super ,,2021-08-14T17:55:10Z
BOC app la neraya bugs irkuu but HNB best,,2021-06-11T08:25:04Z
Usefull vdo ,,2021-05-29T04:00:31Z
Bank cheque ah paththi full video onnu podunga,,2021-05-26T10:02:08Z
Nan bavikiren semma,,2021-05-23T10:57:59Z
super,,2021-05-22T17:13:18Z
Hi,,2021-05-22T16:41:13Z
Today Ennota Corona Positive Story video potirukan support pannunga friends 🤝,,2021-05-22T16:31:23Z
Email aka add karanne kohomada?,,2024-03-29T12:49:09Z
වවගගනමම්ස්න්ංන්,,2024-03-25T09:41:39Z
Thnx good,,2024-03-14T17:46:24Z
Good thnx,,2024-03-14T17:45:52Z
Block unama vena phone ekakin haduvakida,,2024-03-04T07:37:56Z
Aiye me app ekata dawasa gane kiyak hari kepenawada ape account eken,,2024-02-24T19:06:00Z
Good,,2024-02-02T03:22:04Z
mge app ekt rejester venn bane ,,2024-01-10T03:16:18Z
Thankyou  i do it,,2023-11-21T19:35:20Z
Very good ...,,2023-11-20T22:35:27Z
Pin cid eka illnaoo ayi ee,,2023-08-29T03:53:11Z
Mata hdn bane,,2023-08-28T13:53:31Z
"Thanks so much 
 hnb digital banking app ek use krn vidye video ekk dnnko",,2024-03-20T17:38:31Z
කියලා දෙන විදිය හරියටම හරි බ්‍රෝ,,2024-01-11T08:25:56Z
Boc atm card ekk dl slli gn berid,,2023-12-29T11:49:24Z
Akta bomba suiz Alam on off,,2023-10-12T22:55:21Z
Thank you so mush...,,2022-07-08T18:47:38Z
18:52 ,,2022-03-26T13:03:14Z
