Comment,Aspect,Date,brand,trigger_keywords
Solo app eken salli sheya karanna berida wena bank account walata...aiya,,2021-02-20T16:33:05Z,Hatton National Bank,['HNB']
පට්ට,,2021-02-20T15:56:33Z,Hatton National Bank,['HNB']
Niyama solo app eka ..ratama kamathi da koheda,,2021-02-20T15:15:47Z,Hatton National Bank,['HNB']
පට්ට!!!,,2021-02-20T11:53:19Z,Hatton National Bank,['HNB']
Ayiye koo gold play botton eka.,,2021-02-20T10:56:33Z,Hatton National Bank,['HNB']
Poco m3 review ekak dannako,,2021-02-20T10:06:28Z,Hatton National Bank,['HNB']
Hudek mage me wyayamaya raja sapa pinisa nowana athra chanux bro gen reply ekak bala poroththuwen bawa karunawen salakanna,,2021-02-20T09:55:07Z,Hatton National Bank,['HNB']
නියමයි,,2021-02-20T09:49:44Z,Hatton National Bank,['HNB']
Pubg ගහන අය like එකක් දාලා ID එක දීලා යන්න කෝ,,2021-02-20T09:39:24Z,Hatton National Bank,['HNB']
heart එකක් දැන්වත් pls දාන්නko chanux aiye,,2021-02-20T08:39:24Z,Hatton National Bank,['HNB']
2021 අලුත්ම සින්දුව මෙන්න https://youtu.be/ZrjhfHH0hzg,,2021-02-20T07:55:44Z,Hatton National Bank,['HNB']
අනේ  DJI  Mavic mini 2  ගැන  unboxing  එකක්  ගේන්න්කෝ,,2021-02-20T07:36:21Z,Hatton National Bank,['HNB']
Uba video okama balatiyanawa asawatama habai oya unboks karana okama tackgajate mata hinayake vitharai aiya,,2021-02-20T07:36:16Z,Hatton National Bank,['HNB']
UnBOXING video ekak one plz,,2021-02-20T07:34:45Z,Hatton National Bank,['HNB']
Oyage number akak danna puluwan da,,2021-02-20T07:08:51Z,Hatton National Bank,['HNB']
"Ayiye podi prashnayak,oyata poddak katha karala dena ganna ona plss",,2021-02-20T07:08:15Z,Hatton National Bank,['HNB']
Ane ayye gold play button eka unbox korannako,,2021-02-20T06:58:52Z,Hatton National Bank,['HNB']
Aiiye phone ekata software update ewanne kohenda,,2021-02-20T06:36:51Z,Hatton National Bank,['HNB']
Alienware laptop gena video ekak karannako aiye,,2021-02-20T06:19:04Z,Hatton National Bank,['HNB']
Keep it up superb chanux අයියේ,,2021-02-20T05:49:05Z,Hatton National Bank,['HNB']
මම මේක භාවිතා කරනවා ගොඩක් හොඳයි .,,2021-02-20T05:42:53Z,Hatton National Bank,['HNB']
එල කොල්ලෝ ,,2021-02-20T05:08:51Z,Hatton National Bank,['HNB']
"නියමයි,ගොඩාක් වටිනවා.",,2021-02-20T04:23:35Z,Hatton National Bank,['HNB']
Chanux aiya ape HNB debit card eke thiyena mudal pramanaya dena ganna berida oken .,,2021-02-20T03:56:25Z,Hatton National Bank,['HNB']
අදත් ආවා,,2021-02-20T03:48:36Z,Hatton National Bank,['HNB']
සබ්ස්ක්රය්බ්  1000   ගන්න  විදිය   දාන්න   වීඩියෝ 1  ඕනි,,2021-02-20T03:19:35Z,Hatton National Bank,['HNB']
එක වැදගත් නෑ මගේ වයස අවුරුදු දාහතරයි,,2021-02-20T03:13:44Z,Hatton National Bank,['HNB']
"goldenplay button eka unbox karanna niyamithai kiyalath dan maasayak wenawa
koo chanux eka",,2021-02-20T03:11:16Z,Hatton National Bank,['HNB']
