Comment,Aspect,Date,brand,trigger_keywords
Hnb finance eka gana mokada hithenne me dakath ekka baladdi,,2020-08-06T10:06:14Z,Hatton National Bank,"['hnb', 'mohoththuwarama primary school', 'HNB finance plc', 'swashakthi savings', 'HNB']"
මේ vedio එක දැන් update කරන්න,,2022-10-02T15:43:19Z,Hatton National Bank,"['hnb', 'mohoththuwarama primary school', 'HNB finance plc', 'swashakthi savings', 'HNB']"
Ayye pitarata idala ewana salli walain api FD ekak dala eken maspatha poliyak gaththoth bankuwen ema poliyen badumudalak kapagannawada,,2022-05-20T00:23:49Z,Hatton National Bank,"['hnb', 'mohoththuwarama primary school', 'HNB finance plc', 'swashakthi savings', 'HNB']"
Thank fd 1k auruddakata  dala  apasu mudal  gannakota  bank eken salli kapanawada  kiyak kapanawada  mata tikak egana  kiyanna,,2021-09-16T07:39:55Z,Hatton National Bank,"['hnb', 'mohoththuwarama primary school', 'HNB finance plc', 'swashakthi savings', 'HNB']"
ස්තූතියි,,2021-09-14T21:36:34Z,Hatton National Bank,"['hnb', 'mohoththuwarama primary school', 'HNB finance plc', 'swashakthi savings', 'HNB']"
Great Job!!! Stock market eka ganath danuwath krnna please... Mula idanma.,,2021-09-07T19:56:57Z,Hatton National Bank,"['hnb', 'mohoththuwarama primary school', 'HNB finance plc', 'swashakthi savings', 'HNB']"
